"Genus","BenchOrGenus","Phylum","Subphylum","Superclass","Class","Subclass","Infraclass","Superorder","Order","Suborder","Infraorder","Superfamily","Family","Subfamily","Tribe"
"Abedus.Belostoma","Neither","Arthropoda","Uniramia",NA,"Insecta","Pterygota","Neoptera","Hemipteroidea","Hemiptera","Heteroptera","","","Belostomatidae","Belostomatinae",""
"Ablabesmyia","Genus","Arthropoda","Uniramia",NA,"Insecta","Pterygota","Neoptera","Holometabola","Diptera","Nematocera","","","Chironomidae","Tanypodinae","Pentaneurini"
"Acentrella.Acerpenna.Amercaenis.Americabaetis.Anafroptilum.Anthopotamus.Apobaetis.Attenella.Baetis.Baetisca.Barbaetis.Brachycercus.Caenis.Callibaetis.Campsurus.Caudatella.Centroptilum.Choroterpes.Cinygma.Cinygmula.Cloe.Cloeon.Dannella.Dentatella.Diphetor.Drunella.Ecdyonurus.Ecdyurus.Epeorus.Ephemera.Ephemerella.Ephoron.Eurycaenis.Eurylophella.Euthyplocia.Fallceon.Habrophlebia.Habrophlebiodes.Heptagenia.Heterocloeon.Hexagenia.Iron.Ironodes.Iswaeon.Labiobaetis.Leptophlebia.Leucrocuta.Litobrancha.Maccaffertium.Matriella.Neochoroterpes.Nixe.Palingenia.Paracloeodes.Paraleptophlebia.Penelomax.Plauditus.Potamanthus.Procloeon.Pseudocloeon.Raptoheptagenia.Rhithrogena.Serratella.Sparbarus.Stenacron.Stenonema.Susperatus.Teloganopsis.Timpanoga.Tsalia","Neither","Arthropoda","Uniramia",NA,"Insecta","Pterygota","Paleoptera","","Ephemeroptera","Pisciforma","","","Baetidae","",""
"Acneus","Genus","Arthropoda","Uniramia",NA,"Insecta","Pterygota","Neoptera","Holometabola","Coleoptera","Polyphaga","","Dryopoidea","Psephenidae","",""
"Acricotopus","Genus","Arthropoda","Uniramia",NA,"Insecta","Pterygota","Neoptera","Holometabola","Diptera","Nematocera","","","Chironomidae","Orthocladiinae",""
"Acroneuria","Genus","Arthropoda","Uniramia",NA,"Insecta","Pterygota","Neoptera","Orthopterodea","Plecoptera","Systellognatha","","","Perlidae","Acroneuriinae","Acroneuriini"
"Aedes","Genus","Arthropoda","Uniramia",NA,"Insecta","Pterygota","Neoptera","Holometabola","Diptera","Nematocera","","","Culicidae","",""
"Aeshna.Rhionaeschna","Neither","Arthropoda","Uniramia",NA,"Insecta","Pterygota","Paleoptera","","Odonata","Anisoptera","","","Aeshnidae","",""
"Agabus","Genus","Arthropoda","Uniramia",NA,"Insecta","Pterygota","Neoptera","Holometabola","Coleoptera","Adephaga","","Caraboidea","Dytiscidae","Colymbetinae","Agabini"
"Agapetus","Genus","Arthropoda","Uniramia",NA,"Insecta","Pterygota","Neoptera","Holometabola","Trichoptera","Spicipalpia","","","Glossosomatidae","Agapetinae",""
"Agarodes","Genus","Arthropoda","Uniramia",NA,"Insecta","Pterygota","Neoptera","Holometabola","Trichoptera","Integripalpia","","Sericostomatoidea","Sericostomatidae","",""
"Agathon","Genus","Arthropoda","Uniramia",NA,"Insecta","Pterygota","Neoptera","Holometabola","Diptera","Nematocera","","","Blephariceridae","",""
"Agnetina.Paragnetina","Neither","Arthropoda","Uniramia",NA,"Insecta","Pterygota","Neoptera","Orthopterodea","Plecoptera","Systellognatha","","","Perlidae","Perlinae","Perlini"
"Agraylea","Genus","Arthropoda","Uniramia",NA,"Insecta","Pterygota","Neoptera","Holometabola","Trichoptera","Spicipalpia","","","Hydroptilidae","Hydroptilinae",""
"Allenhyphes.Asioplax.Homoleptohyphes.Leptohyphes.Tricorythodes.Vacupernius","Neither","Arthropoda","Uniramia",NA,"Insecta","Pterygota","Paleoptera","","Ephemeroptera","Furcatergalia","Pannota","Ephemerelloidea","Leptohyphidae","",""
"Allocapnia","Genus","Arthropoda","Uniramia",NA,"Insecta","Pterygota","Neoptera","Orthopterodea","Plecoptera","Euholognatha","","","Capniidae","Capniinae",""
"Allocosmoecus","Genus","Arthropoda","Uniramia",NA,"Insecta","Pterygota","Neoptera","Holometabola","Trichoptera","Integripalpia","","Limnephiloidea","Limnephilidae","Dicosmoecinae",""
"Allognosta","Genus","Arthropoda","Uniramia",NA,"Insecta","Pterygota","Neoptera","Holometabola","Diptera","Brachycera","","","Stratiomyidae","Beridinae",""
"Allomyia","Genus","Arthropoda","Uniramia",NA,"Insecta","Pterygota","Neoptera","Holometabola","Trichoptera","Integripalpia","","Limnephiloidea","Apataniidae","",""
"Alloperla","Genus","Arthropoda","Uniramia",NA,"Insecta","Pterygota","Neoptera","Orthopterodea","Plecoptera","Systellognatha","","","Chloroperlidae","Chloroperlinae",""
"Alotanypus","Genus","Arthropoda","Uniramia",NA,"Insecta","Pterygota","Neoptera","Holometabola","Diptera","Nematocera","","","Chironomidae","Tanypodinae","Macropelopiini"
"Ambrysus","Genus","Arthropoda","Uniramia",NA,"Insecta","Pterygota","Neoptera","Hemipteroidea","Hemiptera","Heteroptera","","","Naucoridae","Ambrysinae",""
"Ameletus","Genus","Arthropoda","Uniramia",NA,"Insecta","Pterygota","Paleoptera","","Ephemeroptera","Pisciforma","","","Ameletidae","",""
"Americorophium","Genus","Arthropoda","Crustacea",NA,"Malacostraca","Eumalacostraca","","Peracarida","Amphipoda","Gammaridea","","","Corophiidae","",""
"Ametor","Genus","Arthropoda","Uniramia",NA,"Insecta","Pterygota","Neoptera","Holometabola","Coleoptera","Polyphaga","","Hydrophiloidea","Hydrophilidae","",""
"Amiocentrus","Genus","Arthropoda","Uniramia",NA,"Insecta","Pterygota","Neoptera","Holometabola","Trichoptera","Integripalpia","","Limnephiloidea","Brachycentridae","",""
"Amphicosmoecus","Genus","Arthropoda","Uniramia",NA,"Insecta","Pterygota","Neoptera","Holometabola","Trichoptera","Integripalpia","","Limnephiloidea","Limnephilidae","Dicosmoecinae",""
"Amphinemura","Genus","Arthropoda","Uniramia",NA,"Insecta","Pterygota","Neoptera","Orthopterodea","Plecoptera","Euholognatha","","","Nemouridae","Amphinemurinae",""
"Ampumixis","Genus","Arthropoda","Uniramia",NA,"Insecta","Pterygota","Neoptera","Holometabola","Coleoptera","Polyphaga","","Dryopoidea","Elmidae","",""
"Anabolia","Genus","Arthropoda","Uniramia",NA,"Insecta","Pterygota","Neoptera","Holometabola","Trichoptera","Integripalpia","","Limnephiloidea","Limnephilidae","Limnephilinae",""
"Anacaena","Genus","Arthropoda","Uniramia",NA,"Insecta","Pterygota","Neoptera","Holometabola","Coleoptera","Polyphaga","","Hydrophiloidea","Hydrophilidae","",""
"Anagapetus","Genus","Arthropoda","Uniramia",NA,"Insecta","Pterygota","Neoptera","Holometabola","Trichoptera","Spicipalpia","","","Glossosomatidae","Glossosomatinae",""
"Anax","Genus","Arthropoda","Uniramia",NA,"Insecta","Pterygota","Paleoptera","","Odonata","Anisoptera","","","Aeshnidae","",""
"Anchytarsus","Genus","Arthropoda","Uniramia",NA,"Insecta","Pterygota","Neoptera","Holometabola","Coleoptera","Polyphaga","","Dryopoidea","Ptilodactylidae","",""
"Ancyronyx","Genus","Arthropoda","Uniramia",NA,"Insecta","Pterygota","Neoptera","Holometabola","Coleoptera","Polyphaga","","Dryopoidea","Elmidae","",""
"Anisocentropus","Genus","Arthropoda","Uniramia",NA,"Insecta","Pterygota","Neoptera","Holometabola","Trichoptera","Integripalpia","","Leptoceroidea","Calamoceratidae","",""
"Anopheles","Genus","Arthropoda","Uniramia",NA,"Insecta","Pterygota","Neoptera","Holometabola","Diptera","Nematocera","","","Culicidae","",""
"Antocha","Genus","Arthropoda","Uniramia",NA,"Insecta","Pterygota","Neoptera","Holometabola","Diptera","Nematocera","","","Tipulidae","Limoniinae",""
"Apatania","Genus","Arthropoda","Uniramia",NA,"Insecta","Pterygota","Neoptera","Holometabola","Trichoptera","Integripalpia","","Limnephiloidea","Apataniidae","",""
"Apocorophium","Genus","Arthropoda","Crustacea",NA,"Malacostraca","Eumalacostraca","","Peracarida","Amphipoda","Gammaridea","","","Corophiidae","",""
"Apsectrotanypus","Genus","Arthropoda","Uniramia",NA,"Insecta","Pterygota","Neoptera","Holometabola","Diptera","Nematocera","","","Chironomidae","Tanypodinae","Macropelopiini"
"Archilestes","Genus","Arthropoda","Uniramia",NA,"Insecta","Pterygota","Paleoptera","","Odonata","Zygoptera","","","Lestidae","",""
"Arctopsyche","Genus","Arthropoda","Uniramia",NA,"Insecta","Pterygota","Neoptera","Holometabola","Trichoptera","Annulipalpia","","Hydropsychoidea","Hydropsychidae","Arctopsychinae",""
"Argia","Genus","Arthropoda","Uniramia",NA,"Insecta","Pterygota","Paleoptera","","Odonata","Zygoptera","","","Coenagrionidae","",""
"Argulus","Genus","Arthropoda","Crustacea",NA,"Maxillopoda","","","","Arguloida","","","","Argulidae","",""
"Armiger.Gyraulus","Neither","Mollusca","",NA,"Gastropoda","Pulmonata","","","Basommatophora","","","","Planorbidae","",""
"Arrenurus","Genus","Arthropoda","Chelicerata",NA,"Arachnida","Acari","","Acariformes","Trombidiformes","Prostigmata","Hydrachnidia","","Arrenuridae","",""
"Atherix.Suragina","Neither","Arthropoda","Uniramia",NA,"Insecta","Pterygota","Neoptera","Holometabola","Diptera","Brachycera","","","Athericidae","",""
"Atopsyche","Genus","Arthropoda","Uniramia",NA,"Insecta","Pterygota","Neoptera","Holometabola","Trichoptera","Spicipalpia","","","Hydrobiosidae","",""
"Atractelmis","Genus","Arthropoda","Uniramia",NA,"Insecta","Pterygota","Neoptera","Holometabola","Coleoptera","Polyphaga","","Dryopoidea","Elmidae","",""
"Atractides","Genus","Arthropoda","Chelicerata",NA,"Arachnida","Acari","","Acariformes","Trombidiformes","Prostigmata","Hydrachnidia","","Hygrobatidae","",""
"Atrichopogon.Forcipomyia","Neither","Arthropoda","Uniramia",NA,"Insecta","Pterygota","Neoptera","Holometabola","Diptera","Nematocera","","","Ceratopogonidae","Forcipomyiinae",""
"Aturus","Genus","Arthropoda","Chelicerata",NA,"Arachnida","Acari","","Acariformes","Trombidiformes","Prostigmata","Hydrachnidia","","Aturidae","",""
"Aulodrilus","Genus","Annelida","Clitellata",NA,"Oligochaeta","","","","Tubificida","Tubificina","","Tubificoidea","Tubificidae","",""
"Axarus","Genus","Arthropoda","Uniramia",NA,"Insecta","Pterygota","Neoptera","Holometabola","Diptera","Nematocera","","","Chironomidae","Chironominae","Chironomini"
"Baetodes","Genus","Arthropoda","Uniramia",NA,"Insecta","Pterygota","Paleoptera","","Ephemeroptera","Pisciforma","","","Baetidae","",""
"Beardius","Genus","Arthropoda","Uniramia",NA,"Insecta","Pterygota","Neoptera","Holometabola","Diptera","Nematocera","","","Chironomidae","Chironominae","Chironomini"
"Berosus","Genus","Arthropoda","Uniramia",NA,"Insecta","Pterygota","Neoptera","Holometabola","Coleoptera","Polyphaga","","Hydrophiloidea","Hydrophilidae","",""
"Bethbilbeckia","Genus","Arthropoda","Uniramia",NA,"Insecta","Pterygota","Neoptera","Holometabola","Diptera","Nematocera","","","Chironomidae","Tanypodinae","Macropelopiini"
"Bezzia.Palpomyia","Neither","Arthropoda","Uniramia",NA,"Insecta","Pterygota","Neoptera","Holometabola","Diptera","Nematocera","","","Ceratopogonidae","Ceratopogoninae",""
"Bibiocephala","Genus","Arthropoda","Uniramia",NA,"Insecta","Pterygota","Neoptera","Holometabola","Diptera","Nematocera","","","Blephariceridae","",""
"Biomphalaria","Genus","Mollusca","",NA,"Gastropoda","Pulmonata","","","Basommatophora","","","","Planorbidae","",""
"Blepharicera","Genus","Arthropoda","Uniramia",NA,"Insecta","Pterygota","Neoptera","Holometabola","Diptera","Nematocera","","","Blephariceridae","",""
"Boreochlus","Genus","Arthropoda","Uniramia",NA,"Insecta","Pterygota","Neoptera","Holometabola","Diptera","Nematocera","","","Chironomidae","Podonominae","Boreochlini"
"Boreoheptagyia","Genus","Arthropoda","Uniramia",NA,"Insecta","Pterygota","Neoptera","Holometabola","Diptera","Nematocera","","","Chironomidae","Diamesinae","Boreoheptagyiini"
"Boyeria","Genus","Arthropoda","Uniramia",NA,"Insecta","Pterygota","Paleoptera","","Odonata","Anisoptera","","","Aeshnidae","",""
"Brachycentrus","Genus","Arthropoda","Uniramia",NA,"Insecta","Pterygota","Neoptera","Holometabola","Trichoptera","Integripalpia","","Limnephiloidea","Brachycentridae","",""
"Branchiura","Genus","Annelida","Clitellata",NA,"Oligochaeta","","","","Tubificida","Tubificina","","Tubificoidea","Tubificidae","",""
"Bratislavia","Genus","Annelida","Clitellata",NA,"Oligochaeta","","","","Tubificida","Tubificina","","Tubificoidea","Naididae","",""
"Brechmorhoga","Genus","Arthropoda","Uniramia",NA,"Insecta","Pterygota","Paleoptera","","Odonata","Anisoptera","","","Libellulidae","",""
"Brillia","Genus","Arthropoda","Uniramia",NA,"Insecta","Pterygota","Neoptera","Holometabola","Diptera","Nematocera","","","Chironomidae","Orthocladiinae",""
"Brundiniella","Genus","Arthropoda","Uniramia",NA,"Insecta","Pterygota","Neoptera","Holometabola","Diptera","Nematocera","","","Chironomidae","Tanypodinae","Macropelopiini"
"Brychius","Genus","Arthropoda","Uniramia",NA,"Insecta","Pterygota","Neoptera","Holometabola","Coleoptera","Adephaga","","Caraboidea","Haliplidae","",""
"Bryophaenocladius.Gymnometriocnemus","Neither","Arthropoda","Uniramia",NA,"Insecta","Pterygota","Neoptera","Holometabola","Diptera","Nematocera","","","Chironomidae","Orthocladiinae",""
"Caecidotea","Genus","Arthropoda","Crustacea",NA,"Malacostraca","Eumalacostraca","","Peracarida","Isopoda","Asellota","","","Asellidae","",""
"Calineuria","Genus","Arthropoda","Uniramia",NA,"Insecta","Pterygota","Neoptera","Orthopterodea","Plecoptera","Systellognatha","","","Perlidae","Acroneuriinae","Acroneuriini"
"Caloparyphus.Euparyphus","Neither","Arthropoda","Uniramia",NA,"Insecta","Pterygota","Neoptera","Holometabola","Diptera","Brachycera","","","Stratiomyidae","Stratiomyinae",""
"Calopteryx","Genus","Arthropoda","Uniramia",NA,"Insecta","Pterygota","Paleoptera","","Odonata","Zygoptera","","","Calopterygidae","",""
"Cambarellus","Genus","Arthropoda","Crustacea",NA,"Malacostraca","Eumalacostraca","","Eucarida","Decapoda","Pleocyemata","Astacidea","","Cambaridae","Cambarellinae",""
"Cambarus","Genus","Arthropoda","Crustacea",NA,"Malacostraca","Eumalacostraca","","Eucarida","Decapoda","Pleocyemata","Astacidea","","Cambaridae","Cambarinae",""
"Camelobaetidius","Genus","Arthropoda","Uniramia",NA,"Insecta","Pterygota","Paleoptera","","Ephemeroptera","Pisciforma","","","Baetidae","",""
"Campeloma","Genus","Mollusca","",NA,"Gastropoda","Prosobranchia","","","Mesogastropoda","","","Ampullarioidea","Viviparidae","",""
"Cardiocladius.Eukiefferiella.Tvetenia","Neither","Arthropoda","Uniramia",NA,"Insecta","Pterygota","Neoptera","Holometabola","Diptera","Nematocera","","","Chironomidae","Orthocladiinae",""
"Celina","Genus","Arthropoda","Uniramia",NA,"Insecta","Pterygota","Neoptera","Holometabola","Coleoptera","Adephaga","","Caraboidea","Dytiscidae","Methilinae","Celinini"
"Ceraclea","Genus","Arthropoda","Uniramia",NA,"Insecta","Pterygota","Neoptera","Holometabola","Trichoptera","Integripalpia","","Leptoceroidea","Leptoceridae","Leptocerinae",""
"Ceratopogon","Genus","Arthropoda","Uniramia",NA,"Insecta","Pterygota","Neoptera","Holometabola","Diptera","Nematocera","","","Ceratopogonidae","Ceratopogoninae",""
"Ceratopsyche.Hydropsyche","Neither","Arthropoda","Uniramia",NA,"Insecta","Pterygota","Neoptera","Holometabola","Trichoptera","Annulipalpia","","Hydropsychoidea","Hydropsychidae","Hydropsychinae",""
"Cercobrachys","Genus","Arthropoda","Uniramia",NA,"Insecta","Pterygota","Paleoptera","","Ephemeroptera","Furcatergalia","Pannota","Caenoidea","Caenidae","",""
"Cernotina","Genus","Arthropoda","Uniramia",NA,"Insecta","Pterygota","Neoptera","Holometabola","Trichoptera","Annulipalpia","","Hydropsychoidea","Polycentropodidae","Polycentropodinae",""
"Chaetocladius","Genus","Arthropoda","Uniramia",NA,"Insecta","Pterygota","Neoptera","Holometabola","Diptera","Nematocera","","","Chironomidae","Orthocladiinae",""
"Chaetogaster","Genus","Annelida","Clitellata",NA,"Oligochaeta","","","","Tubificida","Tubificina","","Tubificoidea","Naididae","",""
"Chaoborus","Genus","Arthropoda","Uniramia",NA,"Insecta","Pterygota","Neoptera","Holometabola","Diptera","Nematocera","","","Chaoboridae","",""
"Chauliodes","Genus","Arthropoda","Uniramia",NA,"Insecta","Pterygota","Neoptera","Holometabola","Megaloptera","","","","Corydalidae","Chauliodinae",""
"Chelifera.Metachela","Neither","Arthropoda","Uniramia",NA,"Insecta","Pterygota","Neoptera","Holometabola","Diptera","Brachycera","","","Empididae","Hemerodromiinae",""
"Chernovskiia","Genus","Arthropoda","Uniramia",NA,"Insecta","Pterygota","Neoptera","Holometabola","Diptera","Nematocera","","","Chironomidae","Chironominae","Chironomini"
"Cheumatopsyche","Genus","Arthropoda","Uniramia",NA,"Insecta","Pterygota","Neoptera","Holometabola","Trichoptera","Annulipalpia","","Hydropsychoidea","Hydropsychidae","Hydropsychinae",""
"Chimarra","Genus","Arthropoda","Uniramia",NA,"Insecta","Pterygota","Neoptera","Holometabola","Trichoptera","Annulipalpia","","Philopotamoidea","Philopotamidae","Chimarrinae",""
"Chironomus.Einfeldia.Glyptotendipes","Neither","Arthropoda","Uniramia",NA,"Insecta","Pterygota","Neoptera","Holometabola","Diptera","Nematocera","","","Chironomidae","Chironominae","Chironomini"
"Chlorotabanus","Genus","Arthropoda","Uniramia",NA,"Insecta","Pterygota","Neoptera","Holometabola","Diptera","Brachycera","","","Tabanidae","",""
"Chrysops.Silvius","Neither","Arthropoda","Uniramia",NA,"Insecta","Pterygota","Neoptera","Holometabola","Diptera","Brachycera","","","Tabanidae","",""
"Claassenia","Genus","Arthropoda","Uniramia",NA,"Insecta","Pterygota","Neoptera","Orthopterodea","Plecoptera","Systellognatha","","","Perlidae","Perlinae","Perlini"
"Cladopelma","Genus","Arthropoda","Uniramia",NA,"Insecta","Pterygota","Neoptera","Holometabola","Diptera","Nematocera","","","Chironomidae","Chironominae","Chironomini"
"Cladotanytarsus","Genus","Arthropoda","Uniramia",NA,"Insecta","Pterygota","Neoptera","Holometabola","Diptera","Nematocera","","","Chironomidae","Chironominae","Tanytarsini"
"Clathrosperchon","Genus","Arthropoda","Chelicerata",NA,"Arachnida","Acari","","Acariformes","Trombidiformes","Prostigmata","Hydrachnidia","","Hydryphantidae","",""
"Cleptelmis","Genus","Arthropoda","Uniramia",NA,"Insecta","Pterygota","Neoptera","Holometabola","Coleoptera","Polyphaga","","Dryopoidea","Elmidae","",""
"Climacia","Genus","Arthropoda","Uniramia",NA,"Insecta","Pterygota","Neoptera","Holometabola","Neuroptera","","","","Sisyridae","",""
"Clinocera.Trichoclinocera","Neither","Arthropoda","Uniramia",NA,"Insecta","Pterygota","Neoptera","Holometabola","Diptera","Brachycera","","","Empididae","Clinocerinae",""
"Clinotanypus","Genus","Arthropoda","Uniramia",NA,"Insecta","Pterygota","Neoptera","Holometabola","Diptera","Nematocera","","","Chironomidae","Tanypodinae","Coelotanypodini"
"Cloeodes","Genus","Arthropoda","Uniramia",NA,"Insecta","Pterygota","Paleoptera","","Ephemeroptera","Pisciforma","","","Baetidae","",""
"Cnephia","Genus","Arthropoda","Uniramia",NA,"Insecta","Pterygota","Neoptera","Holometabola","Diptera","Nematocera","","","Simuliidae","",""
"Coelotanypus","Genus","Arthropoda","Uniramia",NA,"Insecta","Pterygota","Neoptera","Holometabola","Diptera","Nematocera","","","Chironomidae","Tanypodinae","Coelotanypodini"
"Coenagrion.Enallagma","Neither","Arthropoda","Uniramia",NA,"Insecta","Pterygota","Paleoptera","","Odonata","Zygoptera","","","Coenagrionidae","",""
"Conchapelopia","Genus","Arthropoda","Uniramia",NA,"Insecta","Pterygota","Neoptera","Holometabola","Diptera","Nematocera","","","Chironomidae","Tanypodinae","Pentaneurini"
"Constempellina","Genus","Arthropoda","Uniramia",NA,"Insecta","Pterygota","Neoptera","Holometabola","Diptera","Nematocera","","","Chironomidae","Chironominae","Tanytarsini"
"Copelatus","Genus","Arthropoda","Uniramia",NA,"Insecta","Pterygota","Neoptera","Holometabola","Coleoptera","Adephaga","","Caraboidea","Dytiscidae","Colymbetinae","Copelatini"
"Coptotomus","Genus","Arthropoda","Uniramia",NA,"Insecta","Pterygota","Neoptera","Holometabola","Coleoptera","Adephaga","","Caraboidea","Dytiscidae","Colymbetinae","Coptotomini"
"Corbicula","Genus","Mollusca","",NA,"Bivalvia","Lamellibranchia","","Eulamellibranchia","Veneroida","","","Corbiculoidea","Corbiculidae","",""
"Cordulegaster","Genus","Arthropoda","Uniramia",NA,"Insecta","Pterygota","Paleoptera","","Odonata","Anisoptera","","","Cordulegastridae","",""
"Corydalus","Genus","Arthropoda","Uniramia",NA,"Insecta","Pterygota","Neoptera","Holometabola","Megaloptera","","","","Corydalidae","Corydalinae",""
"Corynoneura.Thienemanniella","Neither","Arthropoda","Uniramia",NA,"Insecta","Pterygota","Neoptera","Holometabola","Diptera","Nematocera","","","Chironomidae","Orthocladiinae",""
"Crambus","Genus","Arthropoda","Uniramia",NA,"Insecta","Pterygota","Neoptera","Holometabola","Lepidoptera","","","","Crambidae","Crambinae",""
"Crangonyx","Genus","Arthropoda","Crustacea",NA,"Malacostraca","Eumalacostraca","","Peracarida","Amphipoda","Gammaridea","","","Crangonyctidae","",""
"Crenitis","Genus","Arthropoda","Uniramia",NA,"Insecta","Pterygota","Neoptera","Holometabola","Coleoptera","Polyphaga","","Hydrophiloidea","Hydrophilidae","",""
"Cricotopus.Orthocladius","Neither","Arthropoda","Uniramia",NA,"Insecta","Pterygota","Neoptera","Holometabola","Diptera","Nematocera","","","Chironomidae","Orthocladiinae",""
"Cryptochironomus","Genus","Arthropoda","Uniramia",NA,"Insecta","Pterygota","Neoptera","Holometabola","Diptera","Nematocera","","","Chironomidae","Chironominae","Chironomini"
"Cryptotendipes","Genus","Arthropoda","Uniramia",NA,"Insecta","Pterygota","Neoptera","Holometabola","Diptera","Nematocera","","","Chironomidae","Chironominae","Chironomini"
"Culex","Genus","Arthropoda","Uniramia",NA,"Insecta","Pterygota","Neoptera","Holometabola","Diptera","Nematocera","","","Culicidae","",""
"Culicoides","Genus","Arthropoda","Uniramia",NA,"Insecta","Pterygota","Neoptera","Holometabola","Diptera","Nematocera","","","Ceratopogonidae","Ceratopogoninae",""
"Culiseta","Genus","Arthropoda","Uniramia",NA,"Insecta","Pterygota","Neoptera","Holometabola","Diptera","Nematocera","","","Culicidae","",""
"Culoptila.Protoptila","Neither","Arthropoda","Uniramia",NA,"Insecta","Pterygota","Neoptera","Holometabola","Trichoptera","Spicipalpia","","","Glossosomatidae","Protoptilinae",""
"Cultus","Genus","Arthropoda","Uniramia",NA,"Insecta","Pterygota","Neoptera","Orthopterodea","Plecoptera","Systellognatha","","","Perlodidae","Perlodinae","Diploperlini"
"Cyathura","Genus","Arthropoda","Crustacea",NA,"Malacostraca","Eumalacostraca","","Peracarida","Isopoda","Anthuridea","","","Anthuridae","",""
"Cylloepus","Genus","Arthropoda","Uniramia",NA,"Insecta","Pterygota","Neoptera","Holometabola","Coleoptera","Polyphaga","","Dryopoidea","Elmidae","",""
"Cymbiodyta","Genus","Arthropoda","Uniramia",NA,"Insecta","Pterygota","Neoptera","Holometabola","Coleoptera","Polyphaga","","Hydrophiloidea","Hydrophilidae","",""
"Cyphomella","Genus","Arthropoda","Uniramia",NA,"Insecta","Pterygota","Neoptera","Holometabola","Diptera","Nematocera","","","Chironomidae","Chironominae","Chironomini"
"Cyrnellus","Genus","Arthropoda","Uniramia",NA,"Insecta","Pterygota","Neoptera","Holometabola","Trichoptera","Annulipalpia","","Hydropsychoidea","Polycentropodidae","Polycentropodinae",""
